Fecha,Valor hoy,Valor ayer,Variación absoluta,Variación porcentual,Variación 12 meses,Variación año
2024/12/02,1398.62,1392.13,6.49,0.47%,20.95,17.01
2024/12/03,1391.54,1398.62,-7.08,-0.51%,20.99,16.42
2024/12/04,1383.75,1391.54,-7.79,-0.56%,22.00,15.77
2024/12/05,1394.57,1383.75,10.82,0.78%,21.76,16.68
2024/12/06,1377.04,1394.57,-17.53,-1.26%,20.64,15.21
2024/12/09,1379.45,1377.04,2.41,0.18%,20.85,15.41
2024/12/10,1383.99,1379.45,4.54,0.33%,20.42,15.79
2024/12/11,1383.41,1383.99,-0.58,-0.04%,18.66,15.74
2024/12/12,1385.09,1383.41,1.68,0.12%,17.91,15.88
2024/12/13,1380.07,1385.09,-5.02,-0.36%,18.70,15.46
2024/12/16,1370.59,1380.07,-9.48,-0.69%,17.81,14.67
2024/12/17,1367.66,1370.59,-2.93,-0.21%,16.96,14.42
2024/12/18,1360.40,1367.66,-7.26,-0.53%,17.00,13.82
2024/12/19,1373.29,1360.40,12.89,0.95%,17.77,14.90
2024/12/20,1368.21,1373.29,-5.08,-0.37%,16.90,14.47
2024/12/23,1389.23,1368.21,21.02,1.54%,17.34,16.23
2024/12/24,1383.76,1389.23,-5.47,-0.39%,16.88,15.77
2024/12/26,1386.59,1383.76,2.83,0.20%,16.01,16.01
2024/12/27,1381.93,1386.59,-4.66,-0.34%,13.04,15.62
2024/12/30,1379.58,1381.93,-2.35,-0.17%,12.84,15.42
2025/01/02,1399.58,1379.58,20.00,1.45%,10.44,1.44
2025/01/03,1396.23,1399.58,-3.35,-0.24%,7.83,1.20
2025/01/07,1419.10,1396.23,22.87,1.64%,9.63,2.86
2025/01/08,1409.54,1419.10,-9.56,-0.67%,9.37,2.17
2025/01/09,1407.35,1409.54,-2.19,-0.16%,9.67,2.01
2025/01/10,1404.94,1407.35,-2.41,-0.17%,8.83,1.83
2025/01/13,1406.76,1404.94,1.82,0.13%,8.43,1.97
2025/01/14,1398.71,1406.76,-8.05,-0.57%,8.18,1.38
2025/01/15,1397.58,1398.71,-1.13,-0.08%,8.85,1.30
2025/01/16,1394.44,1397.58,-3.14,-0.22%,9.27,1.07
2025/01/17,1391.22,1394.44,-3.22,-0.23%,9.15,0.84
2025/01/20,1387.59,1391.22,-3.63,-0.26%,9.16,0.58
2025/01/21,1392.19,1387.59,4.60,0.33%,10.21,0.91
2025/01/22,1381.90,1392.19,-10.29,-0.74%,9.57,0.16
2025/01/23,1397.33,1381.90,15.43,1.12%,10.12,1.28
2025/01/24,1415.45,1397.33,18.12,1.30%,10.37,2.60
2025/01/27,1432.41,1415.45,16.96,1.20%,11.92,3.82
2025/01/28,1474.00,1432.41,41.59,2.90%,15.14,6.84
2025/01/29,1509.82,1474.00,35.82,2.43%,18.27,9.44
2025/01/30,1543.02,1509.82,33.20,2.20%,20.77,11.84
2025/01/31,1521.74,1543.02,-21.28,-1.38%,19.09,10.30
2025/02/03,1504.83,1521.74,-16.91,-1.11%,18.26,9.07
2025/02/04,1523.08,1504.83,18.25,1.21%,19.29,10.40
2025/02/05,1510.21,1523.08,-12.87,-0.84%,18.05,9.46
2025/02/06,1525.14,1510.21,14.93,0.99%,20.93,10.55
2025/02/07,1515.99,1525.14,-9.15,-0.60%,21.45,9.88
2025/02/10,1525.64,1515.99,9.65,0.64%,22.22,10.58
2025/02/11,1534.93,1525.64,9.29,0.61%,24.19,11.26
2025/02/12,1531.33,1534.93,-3.60,-0.23%,23.77,10.99
2025/02/13,1535.55,1531.33,4.22,0.28%,23.20,11.30
2025/02/14,1547.37,1535.55,11.82,0.77%,23.10,12.16
2025/02/17,1567.89,1548.81,19.08,1.23%,28.48,13.64
2025/02/18,1576.63,1567.89,8.74,0.56%,26.58,14.28
2025/02/19,1599.95,1576.63,23.32,1.48%,26.10,15.97
2025/02/20,1634.61,1599.95,34.66,2.17%,27.79,18.48
2025/02/21,1630.62,1634.61,-3.99,-0.24%,26.37,18.19
2025/02/24,1651.39,1630.62,20.77,1.27%,27.87,19.70
2025/02/25,1648.85,1651.39,-2.54,-0.15%,28.16,19.51
2025/02/26,1646.13,1648.85,-2.72,-0.16%,28.05,19.32
2025/02/27,1627.96,1646.13,-18.17,-1.10%,27.77,18.00
2025/02/28,1607.57,1627.96,-20.39,-1.25%,24.96,16.52
2025/03/03,1575.61,1607.57,-31.96,-1.99%,22.27,14.20
2025/03/04,1564.52,1575.61,-11.09,-0.70%,20.26,13.40
2025/03/05,1589.02,1564.52,24.50,1.57%,21.56,15.18
2025/03/06,1603.01,1589.02,13.99,0.88%,22.04,16.19
2025/03/07,1610.50,1603.01,7.49,0.47%,23.98,16.73
2025/03/10,1581.93,1610.50,-28.57,-1.77%,21.84,14.66
2025/03/11,1578.49,1581.93,-3.44,-0.22%,23.44,14.41
2025/03/12,1600.54,1578.49,22.05,1.40%,24.63,16.01
2025/03/13,1592.12,1600.54,-8.42,-0.53%,24.07,15.40
2025/03/14,1620.36,1592.12,28.24,1.77%,26.08,17.45
2025/03/17,1634.64,1620.36,14.28,0.88%,25.05,18.48
2025/03/18,1623.35,1634.64,-11.29,-0.69%,24.22,17.66
2025/03/19,1616.99,1623.35,-6.36,-0.39%,23.55,17.20
2025/03/20,1607.79,1616.99,-9.20,-0.57%,21.65,16.54
2025/03/21,1608.85,1607.79,1.06,0.07%,21.01,16.61
2025/03/25,1634.99,1608.85,26.14,1.62%,24.04,18.51
2025/03/26,1598.67,1634.99,-36.32,-2.22%,19.93,15.88
2025/03/27,1599.00,1598.67,0.33,0.02%,17.99,15.90
2025/03/28,1603.63,1599.00,4.63,0.29%,18.33,16.24
2025/03/31,1602.92,1603.63,-0.71,-0.04%,18.28,16.18
2025/04/01,1625.55,1602.92,22.63,1.41%,18.41,17.82
2025/04/02,1653.50,1625.55,27.95,1.72%,19.48,19.85
2025/04/03,1657.40,1653.50,3.90,0.24%,17.71,20.13
2025/04/04,1620.49,1657.40,-36.91,-2.23%,16.72,17.46
2025/04/07,1609.66,1620.49,-10.83,-0.67%,16.07,16.67
2025/04/08,1552.71,1609.66,-56.95,-3.54%,10.23,12.54
2025/04/09,1601.60,1552.71,48.89,3.15%,14.55,16.09
2025/04/10,1546.98,1601.60,-54.62,-3.41%,9.30,12.13
2025/04/11,1561.52,1546.98,14.54,0.94%,12.27,13.18
2025/04/14,1582.31,1561.52,20.79,1.33%,14.64,14.69
2025/04/15,1603.83,1582.31,21.52,1.36%,17.21,16.25
2025/04/16,1626.73,1603.83,22.90,1.43%,20.48,17.91
2025/04/21,1619.72,1626.73,-7.01,-0.43%,20.49,17.40
2025/04/22,1631.26,1619.72,11.54,0.71%,21.01,18.24
2025/04/23,1642.84,1631.26,11.58,0.71%,22.29,19.08
2025/04/24,1634.48,1642.84,-8.36,-0.51%,21.07,18.47
2025/04/25,1641.69,1634.48,7.21,0.44%,20.12,18.99
2025/04/28,1618.19,1641.69,-23.50,-1.43%,17.17,17.29
2025/04/29,1620.80,1618.19,2.61,0.16%,19.41,17.48
2025/04/30,1636.51,1620.80,15.71,0.97%,18.69,18.62
2025/05/02,1641.99,1636.51,5.48,0.33%,18.50,19.02
2025/05/05,1642.08,1641.99,0.09,0.01%,18.99,19.02
2025/05/06,1642.17,1642.08,0.09,0.01%,18.94,19.03
